id,name,popTotal,pop15,married15,wds15,never15,pop25,married25, wds25,never25,pop35,married35,wds35,never35,pop60,married60,w60,divorced60,never60,ratio,Hindu,Buddhist,Christian,Orthodox,Mormon,Muslim,Jewish,RomanCatholic,Protestant,Atheist,Nothing in particular,Agnostic,AgNot
1,Alabama,3514199,626799,16.2,2.7,81.1,599226,59.6,13.3,27.1,1517725,69.4,21.2,9.4,770449,57.3,29.9,9.3,3.4,2.712,0,0,0.01,0,0,0,0,0.07,0.83,0.01,0.05,0.01,0.06
2,Alaska,468861,89305,14.6,2.2,83.2,89209,57,10.9,32.1,238230,67.6,20.6,11.8,52117,59.1,21.6,15.1,4.2,3.201,0,0.01,0.07,0.01,0.03,0,0,0.12,0.49,0.03,0.17,0.03,0.19
4,Arizona,3979336,723152,16,2,82,739977,56.4,11,32.5,1646142,66.9,22.2,10.9,870065,63.6,23,10.6,2.8,2.903,0,0.01,0.03,0.01,0.04,0,0.02,0.25,0.4,0.03,0.15,0.02,0.17
5,Arkansas,2111663,380463,20.1,3.4,76.5,348762,63.2,14.8,21.9,890789,71,21.5,7.5,491649,61.1,27.6,8.8,2.6,2.827,0,0,0.02,0,0.01,0,0,0.05,0.82,0.01,0.07,0.01,0.09
6,California,26076163,4777263,13.6,1.7,84.8,5168768,52.8,8.6,38.6,11400932,66.3,19.8,13.9,4729200,57.5,25.3,12.6,4.6,2.985,0.02,0.04,0.02,0.02,0.02,0,0.03,0.27,0.35,0.03,0.14,0.04,0.18
8,Colorodo,3385369,608737,15.1,1.9,82.9,664455,56.1,9.9,34.1,1553259,69.4,20.1,10.5,558918,61.2,23.7,11.9,3.2,3.202,0,0.01,0.03,0.01,0.02,0,0.02,0.19,0.43,0.04,0.16,0.03,0.19
9,Connecticut,2696250,400633,10.9,1.3,87.8,448837,51.5,8.2,40.3,1245883,69.4,17.6,13,600897,57.3,27.2,9.3,6.2,3.087,0.01,0.01,0,0.02,0.01,0,0.02,0.45,0.26,0.02,0.14,0.04,0.18
10,Delaware,620661,106003,11.6,1.6,86.8,107935,54.4,9.9,35.7,272970,67.7,20.3,12,133753,59.4,27.1,9.3,4.3,2.878,0,0,0.02,0.02,0,0,0.03,0.28,0.49,0.02,0.1,0.01,0.11
12,Florida,12946990,1922345,12.6,2.3,85.1,2063668,52.4,12.9,34.6,5420170,65.2,23.5,11.3,3540807,61.4,25,10.4,3.2,2.478,0.01,0.01,0.01,0.01,0,0,0.05,0.25,0.49,0.02,0.11,0.03,0.14
13,Georgia,6366625,1180660,15.6,2.6,81.8,1289695,55.7,11.1,33.1,2822676,68,21.1,10.9,1073594,57.2,28.9,10.3,3.6,2.887,0,0.01,0.02,0.01,0.01,0,0.01,0.1,0.71,0,0.09,0.02,0.11
15,Hawaii,965875,163398,11.5,1.2,87.3,168085,50.6,7.6,41.8,427003,66.2,18.1,15.7,207389,60.9,23.6,9.4,6.1,3.196,0,0.06,0.07,0,0.03,0,0,0.19,0.47,0.01,0.1,0.02,0.12
16,Idaho,991624,204119,19.1,2.3,78.6,168703,66.4,12.4,21.2,425094,74.8,19,6.2,193708,65.1,23.4,9.5,2,3.498,0,0.01,0.02,0,0.23,0,0,0.16,0.38,0.01,0.15,0.02,0.18
17,Illinios,9707837,1734166,11.9,1.6,86.6,1798840,54.4,8.8,36.8,4212162,69,18.3,12.7,1962669,56.9,28.3,9.5,5.3,3.066,0.01,0.01,0.02,0.02,0,0,0.02,0.3,0.47,0.01,0.1,0.02,0.12
18,Indiana,4771040,877762,14,2,83.9,826867,59.7,12.5,27.8,2078643,71.2,19.8,9,987768,59.8,27.8,9.1,3.2,2.996,0,0,0.03,0,0.01,0,0.01,0.19,0.61,0.01,0.11,0.02,0.13
19,Iowa,2324863,429007,11.9,1.5,86.6,361262,61.5,10.5,27.9,979839,74.1,17.3,8.6,554755,62,27.2,6.7,4.1,3.342,0,0,0.02,0.01,0.01,0,0,0.25,0.57,0.02,0.09,0.02,0.1
20,Kansas,2100656,399449,15.3,2,82.6,345740,62.8,11.7,25.6,902003,73.5,18.5,8,453464,61.5,26.8,8.4,3.3,3.254,0,0,0.01,0,0.01,0,0,0.22,0.62,0.01,0.09,0.01,0.1
21,Kentucky,3217167,570770,18,3.1,79,566012,62,13.7,24.3,1408992,71.1,20.7,8.2,671393,58,29,9.2,3.8,2.868,0,0,0.02,0,0,0,0,0.14,0.72,0,0.08,0.01,0.09
22,Louisiana,3466380,690912,13.4,2,84.5,592010,54.4,12.7,33,1494826,65.5,22.3,12.2,688632,55.3,30.2,9.9,4.5,2.541,0,0.01,0.02,0,0,0.01,0,0.29,0.59,0,0.06,0.02,0.08
